company_name,company_category_list,investor_name,funding_round_type,funding_round_code,funded_at,raised_amount_usd
Nordic Windpower,Clean Technology,Khosla Ventures,venture,C,2010-01-05,3.8e+07
Nordic Windpower,Clean Technology,New Enterprise Associates,venture,C,2010-01-05,3.8e+07
Nordic Windpower,Clean Technology,Novus Energy,venture,C,2010-01-05,3.8e+07
Nordic Windpower,Clean Technology,U.S. Department of Energy,venture,NA,2009-07-06,1.6e+07
NorSun,Clean Technology,Good Energies,private_equity,NA,2009-03-11,72330000
NorSun,Clean Technology,Good Energies,private_equity,NA,2006-11-07,105790000
Northern Power Systems,Clean Technology,Allen & Company,venture,C,2008-09-25,3.7e+07
Northern Power Systems,Clean Technology,RockPort Capital,venture,C,2008-09-25,3.7e+07
Novinda,Clean Technology,Altira Group,venture,C,2012-02-13,6e+06
Novinda,Clean Technology,New Venture Partners,venture,C,2012-02-13,6e+06
Novogy,Clean Technology,Cultivian Ventures,seed,NA,2011-09-01,750000
Novomer,Clean Technology,Flagship Ventures,venture,B,2009-08-01,1.4e+07
Novomer,Clean Technology,Flagship Ventures,venture,A,2007-11-07,6600000
Novomer,Clean Technology,OVP Venture Partners,venture,B,2009-08-01,1.4e+07
Novomer,Clean Technology,Physic Ventures,venture,B,2009-08-01,1.4e+07
Novomer,Clean Technology,Physic Ventures,venture,A,2007-11-07,6600000
NovoPolymers,Clean Technology,Capital-E,undisclosed,NA,2013-10-08,NA
NuScale Power,Clean Technology,CMEA Capital,venture,NA,2008-03-31,2649900
Nuventix,Clean Energy|Clean Technology|Lighting,Advanced Technology Ventures,venture,C,2009-04-25,17500000
Nuventix,Clean Energy|Clean Technology|Lighting,Braemar Energy Ventures,debt_financing,NA,2014-06-03,4900000
Nuventix,Clean Energy|Clean Technology|Lighting,Braemar Energy Ventures,venture,NA,2011-07-19,1e+07
Nuventix,Clean Energy|Clean Technology|Lighting,Braemar Energy Ventures,venture,C,2009-04-25,17500000
Nuventix,Clean Energy|Clean Technology|Lighting,Centerpoint Ventures,venture,A,2005-09-06,6500000
Nuventix,Clean Energy|Clean Technology|Lighting,Centerpoint Ventures,debt_financing,NA,2014-06-03,4900000
Nuventix,Clean Energy|Clean Technology|Lighting,Centerpoint Ventures,venture,A,2008-01-09,8500000
Nuventix,Clean Energy|Clean Technology|Lighting,Centerpoint Ventures,venture,NA,2011-07-19,1e+07
Nuventix,Clean Energy|Clean Technology|Lighting,Centerpoint Ventures,venture,C,2009-04-25,17500000
Nuventix,Clean Energy|Clean Technology|Lighting,GE Energy Financial Services,venture,NA,2011-07-19,1e+07
Nuventix,Clean Energy|Clean Technology|Lighting,General Electric (GE),debt_financing,NA,2014-06-03,4900000
Nuventix,Clean Energy|Clean Technology|Lighting,InterWest Partners,venture,A,2005-09-06,6500000
Nuventix,Clean Energy|Clean Technology|Lighting,InterWest Partners,venture,A,2008-01-09,8500000
Nuventix,Clean Energy|Clean Technology|Lighting,InterWest Partners,venture,NA,2011-07-19,1e+07
Nuventix,Clean Energy|Clean Technology|Lighting,Rho Capital Partners,venture,A,2005-09-06,6500000
Nuventix,Clean Energy|Clean Technology|Lighting,Rho Capital Partners,venture,NA,2011-07-19,1e+07
Nuventix,Clean Energy|Clean Technology|Lighting,Rho Ventures,debt_financing,NA,2014-06-03,4900000
Nuventix,Clean Energy|Clean Technology|Lighting,Rho Ventures,venture,A,2008-01-09,8500000
Nuventix,Clean Energy|Clean Technology|Lighting,Rho Ventures,venture,C,2009-04-25,17500000
Nuventix,Clean Energy|Clean Technology|Lighting,Texas Venture Labs,non_equity_assistance,NA,2012-08-18,NA
Nuventix,Clean Energy|Clean Technology|Lighting,The Bergquist Company,debt_financing,NA,2014-06-03,4900000
Nuvosun,Clean Technology,The Dow Chemical Company,venture,NA,2010-01-08,5859444
Oasys Water,Clean Technology,Draper Fisher Jurvetson (DFJ),venture,NA,2012-01-26,3e+06
Oasys Water,Clean Technology,Trinity Capital Investment,debt_financing,NA,2014-06-19,7500000
Ocean Renewable Power Company,Clean Technology,U.S. Department of Energy,grant,NA,2010-09-10,1e+07
Oceanlinx,Clean Technology,New Energy Fund,undisclosed,NA,2008-10-08,NA
Off Grid Electric,Clean Technology,International Finance Corporation,debt_financing,NA,2015-02-02,7e+06
Off Grid Electric,Clean Technology,Omidyar Network,venture,A,2014-03-21,7e+06
Off Grid Electric,Clean Technology,SolarCity,venture,B,2014-12-08,1.6e+07
Off Grid Electric,Clean Technology,SolarCity,venture,A,2014-03-21,7e+06
Off Grid Electric,Clean Technology,Vulcan Capital,venture,B,2014-12-08,1.6e+07
Off Grid Electric,Clean Technology,Vulcan Capital,venture,A,2014-03-21,7e+06
OFunnel,Clean Technology|Human Resources|Sales and Marketing|Software,Microsoft Ventures,venture,NA,2013-07-22,NA
Ogin,Clean Energy|Clean Technology|Manufacturing|Renewable Energies,Goldman Sachs,venture,B,2010-01-19,34500000
Ogin,Clean Energy|Clean Technology|Manufacturing|Renewable Energies,Kleiner Perkins Caufield & Byers,venture,B,2010-01-19,34500000
Ogin,Clean Energy|Clean Technology|Manufacturing|Renewable Energies,Top Tier Capital Partners,venture,NA,2011-09-01,NA
Ogin,Clean Energy|Clean Technology|Manufacturing|Renewable Energies,VantagePoint Capital Partners,venture,B,2010-01-19,34500000
Okena,Clean Technology|Environmental Innovation|Waste Management|Water Purification,GE Equity,venture,B,2001-09-24,12400000
Okena,Clean Technology|Environmental Innovation|Waste Management|Water Purification,Newbury Ventures,venture,B,2001-09-24,12400000
Okena,Clean Technology|Environmental Innovation|Waste Management|Water Purification,Solstice Capital,venture,B,2001-09-24,12400000
Okena,Clean Technology|Environmental Innovation|Waste Management|Water Purification,Thomvest Ventures,venture,B,2001-09-24,12400000
Omni Water Solutions,Clean Technology,Austin Ventures,venture,NA,2013-04-22,4e+06
Omni Water Solutions,Clean Technology,Austin Ventures,venture,A,2012-02-28,7900000
OmniGuide,Clean Technology,Argonaut Ventures,venture,E,2008-05-01,2.5e+07
OmniGuide,Clean Technology,Argonaut Ventures,venture,F,2013-09-26,1.5e+07
OmniGuide,Clean Technology,Electro Scientific Industries,venture,F,2013-09-26,1.5e+07
OmniGuide,Clean Technology,OrbiMed Advisors,venture,NA,2012-08-28,3.5e+07
OmniGuide,Clean Technology,Psilos Group,venture,E,2008-05-01,2.5e+07
OmniGuide,Clean Technology,Stata Venture Partners,venture,E,2008-05-01,2.5e+07
OmniGuide,Clean Technology,Stata Venture Partners,venture,F,2013-09-26,1.5e+07
OndaVia,Clean Technology|Environmental Innovation|Nanotechnology|Oil and Gas|Water Purification,Band of Angels,venture,NA,2013-03-31,1e+06
OneRoof Energy,Clean Technology,Black Coral Capital,private_equity,NA,2012-04-04,3e+06
OneRoof Energy,Clean Technology,Black Coral Capital,private_equity,NA,2011-09-22,5e+07
OneRoof Energy,Clean Technology,Black Coral Capital,post_ipo_equity,NA,2015-05-12,3e+06
OneRoof Energy,Clean Technology,GDF SUEZ Energy North America,private_equity,NA,2013-10-22,NA
Oorja Fuel Cells,Clean Technology,DAG Ventures,debt_financing,NA,2010-01-11,450000
Oorja Fuel Cells,Clean Technology,DAG Ventures,venture,B,2007-03-14,1.5e+07
Oorja Fuel Cells,Clean Technology,DAG Ventures,venture,E,2014-02-12,NA
Oorja Fuel Cells,Clean Technology,McKenna Capital,venture,B,2007-03-14,1.5e+07
Oorja Fuel Cells,Clean Technology,McKenna Management,debt_financing,NA,2010-01-11,450000
Oorja Fuel Cells,Clean Technology,Sequoia Capital,debt_financing,NA,2010-01-11,450000
Oorja Fuel Cells,Clean Technology,Sequoia Capital,venture,B,2007-03-14,1.5e+07
Oorja Fuel Cells,Clean Technology,Sequoia Capital,venture,A,2006-05-25,5520000
Oorja Fuel Cells,Clean Technology,Spring Ventures,debt_financing,NA,2010-01-11,450000
Opower,Clean Technology|Energy Efficiency|SaaS|Smart Grid|Software,Accel,venture,C,2010-11-29,5e+07
Opower,Clean Technology|Energy Efficiency|SaaS|Smart Grid|Software,Kleiner Perkins Caufield & Byers,venture,C,2010-11-29,5e+07
Opower,Clean Technology|Energy Efficiency|SaaS|Smart Grid|Software,MHS Capital,venture,B,2008-12-29,1.4e+07
Opower,Clean Technology|Energy Efficiency|SaaS|Smart Grid|Software,MHS Capital,venture,A,2007-08-01,1700000
Opower,Clean Technology|Energy Efficiency|SaaS|Smart Grid|Software,New Cycle Capital,venture,A,2007-08-01,1700000
Opower,Clean Technology|Energy Efficiency|SaaS|Smart Grid|Software,New Enterprise Associates,venture,B,2008-12-29,1.4e+07
Opower,Clean Technology|Energy Efficiency|SaaS|Smart Grid|Software,Ali Partovi,venture,A,2007-08-01,1700000
Opower,Clean Technology|Energy Efficiency|SaaS|Smart Grid|Software,Hadi Partovi,venture,A,2007-08-01,1700000
Optimal Technologies,Clean Technology,Goldman Sachs,venture,B,2007-10-30,2.5e+07
Optimum Energy,Clean Technology|Energy Efficiency|Enterprise Software|M2M|Optimization|Software,Columbia Pacific Advisors,venture,B,2007-11-27,5e+06
Optimum Energy,Clean Technology|Energy Efficiency|Enterprise Software|M2M|Optimization|Software,Columbia Pacific Advisors,venture,NA,2009-06-17,4500000
Optimum Energy,Clean Technology|Energy Efficiency|Enterprise Software|M2M|Optimization|Software,Columbia Pacific Advisors,undisclosed,NA,2013-08-26,NA
Optimum Energy,Clean Technology|Energy Efficiency|Enterprise Software|M2M|Optimization|Software,GeekWire,venture,NA,2013-06-07,12200000
Optimum Energy,Clean Technology|Energy Efficiency|Enterprise Software|M2M|Optimization|Software,Johnson Controls,undisclosed,NA,2013-08-26,NA
Optimum Energy,Clean Technology|Energy Efficiency|Enterprise Software|M2M|Optimization|Software,Navitas Capital,venture,NA,2013-06-07,12200000
OPX Biotechnologies,Clean Technology,Altira Group,venture,B,2009-04-07,17500000
OPX Biotechnologies,Clean Technology,Altira Group,venture,C,2011-07-07,36500000
OPX Biotechnologies,Clean Technology,Braemar Energy Ventures,venture,B,2009-04-07,17500000
OPX Biotechnologies,Clean Technology,Braemar Energy Ventures,venture,C,2011-07-07,36500000
OPX Biotechnologies,Clean Technology,DBL Investors,venture,C,2011-07-07,36500000
OPX Biotechnologies,Clean Technology,Mohr Davidow Ventures,venture,B,2009-04-07,17500000
OPX Biotechnologies,Clean Technology,Mohr Davidow Ventures,venture,A,2007-12-06,3600000
OPX Biotechnologies,Clean Technology,Mohr Davidow Ventures,venture,C,2011-07-07,36500000
OPX Biotechnologies,Clean Technology,US Renewables,venture,C,2011-07-07,36500000
OPX Biotechnologies,Clean Technology,XSeed Capital,venture,B,2009-04-07,17500000
OPX Biotechnologies,Clean Technology,XSeed Capital,seed,NA,2007-05-01,NA
OPX Biotechnologies,Clean Technology,XSeed Capital,venture,A,2007-12-06,3600000
OPX Biotechnologies,Clean Technology,XSeed Capital,venture,C,2011-07-07,36500000
Orecon,Clean Technology,Venrock,venture,A,2008-03-03,2.4e+07
Organica Water,Clean Technology,International Finance Corporation,venture,C,2015-07-21,9100000
Organica Water,Clean Technology,International Finance Corporation,venture,B,2013-08-07,NA
Orient Green Power,Clean Technology|Environmental Innovation|Renewable Energies,Bessemer Venture Partners,private_equity,NA,2008-11-26,5.5e+07
Orient Green Power,Clean Technology|Environmental Innovation|Renewable Energies,Olympus Capital Holdings Asia,private_equity,NA,2008-11-26,5.5e+07
Ostara,Clean Technology,VantagePoint Capital Partners,venture,NA,2013-04-22,1.3e+07
Ostara,Clean Technology,VantagePoint Capital Partners,venture,NA,2008-09-25,10500000
Ostara,Clean Technology,VantagePoint Capital Partners,venture,NA,2012-05-31,14500000
OwnEnergy,Clean Technology,Clearpoint Ventures,venture,A,2009-05-22,2e+07
OwnEnergy,Clean Technology,Contour Venture Partners,undisclosed,NA,2008-10-10,NA
OwnEnergy,Clean Technology,EnerTech Capital,undisclosed,NA,2008-10-10,NA
OwnEnergy,Clean Technology,Partnership Fund for New York City,undisclosed,NA,2008-10-10,NA
Oxford Performance Materials,Clean Technology,Connecticut Innovations,venture,NA,2011-08-04,1200000
Panoramic Power,Clean Technology,Autodesk,venture,C,2014-12-02,7e+06
Panoramic Power,Clean Technology,Marker,venture,B,2013-10-21,8e+06
Panoramic Power,Clean Technology,Marker,venture,B,2014-11-19,7e+06
Panoramic Power,Clean Technology,Qualcomm Incorporated,venture,B,2013-10-21,8e+06
Parsley Energy,Clean Technology,Natural Gas Partners,private_equity,NA,2013-08-12,6.5e+07
PAX Streamline,Clean Technology,Khosla Ventures,venture,A,2008-03-04,6e+06
Pelamis Wave Power,Clean Technology,BlackRock,undisclosed,NA,2008-11-07,7889170
Pentalum Technologies,Clean Technology,Draper Fisher Jurvetson (DFJ),venture,NA,2012-03-07,5e+05
Pentalum Technologies,Clean Technology,Draper Fisher Jurvetson (DFJ),venture,A,2010-07-25,9e+06
Pentalum Technologies,Clean Technology,Draper Fisher Jurvetson (DFJ),venture,C,2013-02-20,5500000
Pentalum Technologies,Clean Technology,GE Ventures,venture,C,2013-07-09,NA
Petra Systems,Clean Technology,BlueRun Ventures,venture,A,2007-05-23,1.4e+07
Petra Systems,Clean Technology,Craton Equity Partners,venture,B,2010-02-08,39999987
Petra Systems,Clean Technology,OnPoint Technologies,venture,B,2010-02-08,39999987
PetroDE,Clean Technology,Catamount Ventures,seed,NA,2014-02-04,2e+06
Picarro,Clean Technology,DAG Ventures,venture,D,2012-07-25,7e+06
Picarro,Clean Technology,Focus Ventures,venture,D,2012-07-25,7e+06
Pinnacle Engines,Clean Technology,Bessemer Venture Partners,venture,C,2014-05-08,NA
Pinnacle Engines,Clean Technology,Bessemer Venture Partners,venture,NA,2011-03-31,13500000
Pinnacle Engines,Clean Technology,Infield Capital,venture,C,2014-05-08,NA
Pinnacle Engines,Clean Technology,Infield Capital,venture,NA,2011-03-31,13500000
Pinnacle Engines,Clean Technology,Mitsui & Co. Global Investment,venture,C,2014-05-08,NA
Pinnacle Engines,Clean Technology,New Enterprise Associates,venture,C,2014-05-08,NA
Pionetics,Clean Technology,Firelake Capital Management,venture,C,2005-02-10,6400000
Pionetics,Clean Technology,NGEN Partners,venture,C,2005-02-10,6400000
PK Clean,Clean Technology,MassChallenge,seed,NA,2011-10-24,NA
Planet Metrics,Clean Technology|Software,Various Angel Investors,venture,A,2008-11-12,2300000
Planet Metrics,Clean Technology|Software,Draper Fisher Jurvetson (DFJ),venture,A,2008-11-12,2300000
Plasco Energy Group,Clean Technology,Soros Fund Management,private_equity,NA,2011-03-22,142774586
PlastiPure,Clean Technology,National Institute of Environmental Health and Safety,venture,NA,2009-10-01,1100000
Plextronics,Clean Technology,Applied Ventures,venture,NA,2007-11-07,NA
Plextronics,Clean Technology,Birchmere Ventures,venture,B,2007-08-31,20600000
Plextronics,Clean Technology,Draper Triangle,venture,B,2007-08-31,20600000
Plextronics,Clean Technology,Firelake Capital Management,venture,B,2007-08-31,20600000
Plextronics,Clean Technology,Innovation Works,venture,NA,2004-05-25,3400000
Plextronics,Clean Technology,Newlin Investment Company,venture,B,2007-08-31,20600000
Plextronics,Clean Technology,Smithfield Trust,venture,NA,2004-05-25,3400000
Powerspan,Clean Technology,Calvert Social Venture Partners,venture,D,2008-06-20,5e+07
Powerspan,Clean Technology,NGEN Partners,venture,D,2008-06-20,5e+07
Power2Switch,Clean Energy|Clean Technology|Energy|Internet|Portals|Price Comparison|Startups,Chicago Ventures,seed,NA,2011-12-05,1300000
Power2Switch,Clean Energy|Clean Technology|Energy|Internet|Portals|Price Comparison|Startups,Techstars Chicago (Formerly Excelerate Labs),seed,NA,2011-06-01,75000
Power2Switch,Clean Energy|Clean Technology|Energy|Internet|Portals|Price Comparison|Startups,OCA Ventures,seed,NA,2011-12-05,1300000
Power2Switch,Clean Energy|Clean Technology|Energy|Internet|Portals|Price Comparison|Startups,Pritzker Group Venture Capital,seed,NA,2011-12-05,1300000
Power2Switch,Clean Energy|Clean Technology|Energy|Internet|Portals|Price Comparison|Startups,Pritzker Group Venture Capital,seed,NA,2011-06-01,75000
Powerhouse Dynamics,Big Data Analytics|Clean Technology|Energy IT|Energy Management|Internet of Things,Constellation Ventures,venture,B,2014-05-20,6300000
Powerhouse Dynamics,Big Data Analytics|Clean Technology|Energy IT|Energy Management|Internet of Things,Massachusetts Clean Energy Center,venture,B,2014-05-20,6300000
Powerhouse Dynamics,Big Data Analytics|Clean Technology|Energy IT|Energy Management|Internet of Things,SOSV,venture,NA,2010-06-16,1374604
Powerhouse Dynamics,Big Data Analytics|Clean Technology|Energy IT|Energy Management|Internet of Things,SOSV,venture,A,2011-11-01,3e+06
Powerhouse Dynamics,Big Data Analytics|Clean Technology|Energy IT|Energy Management|Internet of Things,SOSV,venture,B,2014-05-20,6300000
Powerit Solutions,Clean Technology|Energy|Industrial Energy Efficiency,Black Coral Capital,venture,NA,2011-03-01,5e+06
Powerit Solutions,Clean Technology|Energy|Industrial Energy Efficiency,Black Coral Capital,venture,C,2012-12-04,5500000
Powerit Solutions,Clean Technology|Energy|Industrial Energy Efficiency,Expansion Capital Partners,venture,A,2007-05-31,7100000
Powerit Solutions,Clean Technology|Energy|Industrial Energy Efficiency,@Ventures,venture,A,2007-05-31,7100000
Powertech Technology,Clean Technology,Intel Capital,private_equity,NA,2007-01-01,6.5e+07
"Powur, PBC",Clean Energy|Clean Technology|Services,Henrik Rosendahl,angel,NA,2015-03-08,750000
PPT Reasearch,Clean Technology,Element Partners,venture,B,2008-01-24,3e+06
PPT Reasearch,Clean Technology,RockPort Capital,venture,B,2008-01-24,3e+06
Prenova,Clean Technology,Arcapita Ventures,venture,NA,2006-05-10,1.1e+07
Prenova,Clean Technology,Austin Ventures,venture,NA,2008-04-24,1650000
Prenova,Clean Technology,River Cities Capital Funds,venture,NA,2008-04-24,1650000
Pricelock,Clean Technology|Risk Management,Artiman Ventures,venture,B,2011-03-15,1.2e+07
Prieto Battery,Clean Technology,Intel Capital,venture,NA,2015-11-03,NA
Primus Power,Clean Technology,DBL Investors,venture,NA,2011-05-31,1.1e+07
Primus Power,Clean Technology,I2BF Venture Capital,venture,NA,2011-05-31,1.1e+07
Primus Power,Clean Technology,I2BF Global Ventures,venture,D,2015-09-09,2.5e+07
Primus Power,Clean Technology,Kleiner Perkins Caufield & Byers,venture,NA,2011-05-31,1.1e+07
Principle Energy Limited,Clean Technology,Craton Equity Partners,venture,NA,2009-02-25,1e+07
Prism Solar Technologies,Clean Technology,I2BF Venture Capital,venture,NA,2011-12-02,4400000
Project Frog,Clean Technology,CCM Energy,venture,D,2013-11-07,2e+07
Project Frog,Clean Technology,Convergent Capital Management (CCM) US,venture,D,2013-11-07,2e+07
Project Frog,Clean Technology,Claremont Creek Ventures,venture,NA,2011-09-08,2.2e+07
Project Frog,Clean Technology,Comerica Bank,debt_financing,NA,2014-08-14,8e+06
Project Frog,Clean Technology,GE Energy,venture,NA,2011-09-08,2.2e+07
Project Frog,Clean Technology,Greener Capital,venture,NA,2011-09-08,2.2e+07
Project Frog,Clean Technology,McNally Capital,venture,D,2013-11-07,2e+07
Project Frog,Clean Technology,"Prelude Ventures, LLC",venture,NA,2011-09-08,2.2e+07
Project Frog,Clean Technology,RockPort Capital,venture,D,2013-11-07,2e+07
Project Frog,Clean Technology,RockPort Capital,venture,NA,2011-09-08,2.2e+07
Project Frog,Clean Technology,RockPort Capital,venture,B,2008-11-19,8e+06
Project Frog,Clean Technology,Trinity Capital Investment,debt_financing,NA,2014-08-14,8e+06
Promethean Power Systems,Agriculture|Clean Technology|Social Entrepreneurship,First Light Ventures,seed,NA,2010-03-11,129000
Promethean Power Systems,Agriculture|Clean Technology|Social Entrepreneurship,Invested Development,seed,NA,2010-03-11,129000
Promethean Power Systems,Agriculture|Clean Technology|Social Entrepreneurship,USAID-U.S. Agency for International Development,grant,NA,2013-12-11,1e+06
Prometheus Energy,Clean Technology,Black River Asset Management,venture,NA,2009-07-06,2e+07
Promuc,Assisitive Technology|Biotechnology|Clean Technology|Nanotechnology,Harris & Harris Group,undisclosed,NA,2014-03-04,350001
Propel Fuels,Clean Technology,California Energy Commission,grant,NA,2012-06-01,NA
Propel Fuels,Clean Technology,California Energy Commission,grant,NA,2010-03-01,1e+06
Propel Fuels,Clean Technology,CapX Partners,venture,D,2012-12-11,NA
Propel Fuels,Clean Technology,Comerica Bank,debt_financing,NA,2007-08-24,4e+06
Propel Fuels,Clean Technology,Craton Equity Partners,venture,C,2010-02-10,1.2e+07
Propel Fuels,Clean Technology,Craton Equity Partners,venture,NA,2012-04-01,NA
Propel Fuels,Clean Technology,Craton Equity Partners,venture,D,2012-12-11,NA
Propel Fuels,Clean Technology,Gentry Venture Partners,venture,NA,2012-04-01,NA
Propel Fuels,Clean Technology,Gentry Venture Partners,venture,D,2012-12-11,NA
Propel Fuels,Clean Technology,Hercules Technology Growth Capital,debt_financing,NA,2010-02-10,8e+06
Propel Fuels,Clean Technology,Nth Power,venture,A,2007-08-29,4787000
Propel Fuels,Clean Technology,Nth Power,venture,C,2010-02-10,1.2e+07
Propel Fuels,Clean Technology,Nth Power,venture,NA,2012-04-01,NA
Propel Fuels,Clean Technology,Nth Power,venture,D,2012-12-11,NA
Propel Fuels,Clean Technology,Sacramento AQMD,grant,NA,2008-06-15,750000
Propel Fuels,Clean Technology,@Ventures,venture,A,2007-08-29,4787000
Propel Fuels,Clean Technology,@Ventures,venture,C,2010-02-10,1.2e+07
Propel Fuels,Clean Technology,@Ventures,venture,D,2012-12-11,NA
