company_name,company_category_list,investor_name,funding_round_type,funding_round_code,funded_at,raised_amount_usd
9DIAMOND,E-Commerce,Kleiner Perkins Caufield & Byers,venture,A,2008-01-01,9600000
A Curated World,E-Commerce,Betaspring,seed,NA,2012-04-01,50000
AbbeyPost,E-Commerce|Fashion|Women,500 Startups,seed,NA,2014-01-30,1e+05
AbbeyPost,E-Commerce|Fashion|Women,645 Ventures,convertible_note,NA,2014-01-06,1e+05
AbbeyPost,E-Commerce|Fashion|Women,Astia Angels,seed,NA,2014-07-11,425000
Abe's Market,E-Commerce,Accel,venture,B,2013-01-17,5e+06
Abe's Market,E-Commerce,Accel,equity_crowdfunding,NA,2012-10-31,748000
Abe's Market,E-Commerce,Accel,venture,A,2011-02-10,3400000
Abe's Market,E-Commerce,Mistral Equity Partners,venture,NA,2014-02-07,1e+07
Abe's Market,E-Commerce,Mistral Equity Partners,equity_crowdfunding,NA,2012-10-31,748000
Abe's Market,E-Commerce,"The R-Group, LLC",venture,NA,2014-02-07,1e+07
Acccess Technology Solutions,E-Commerce,Tritium Partners,venture,NA,2014-08-20,25478613
ACHICA,E-Commerce|Gift Card|Home & Garden|Kids|Lifestyle|Retail|Travel,Draper Fisher Jurvetson (DFJ),undisclosed,NA,2012-12-05,13274403
Acumen Holdings,E-Commerce,Arkansas Risk Capital Matching Fund,venture,B,2012-02-02,5e+06
Acumen Holdings,E-Commerce,BLH Venture Partners,venture,B,2012-02-02,5e+06
Acumen Holdings,E-Commerce,BLH Venture Partners,venture,A,2010-12-20,5e+06
Acumen Holdings,E-Commerce,General Atlantic,private_equity,NA,2013-04-07,8.3e+07
Acumen Holdings,E-Commerce,Gravity Ventures,venture,B,2012-02-02,5e+06
Acumen Holdings,E-Commerce,Gravity Ventures,venture,A,2010-12-20,5e+06
Acumen Holdings,E-Commerce,Noro-Moseley Partners,venture,B,2012-02-02,5e+06
Acumen Holdings,E-Commerce,Noro-Moseley Partners,venture,A,2010-12-20,5e+06
aDealio,Coupons|E-Commerce,CRV,angel,NA,2011-03-01,5e+05
aDealio,Coupons|E-Commerce,Benjamin Ling,angel,NA,2011-03-01,5e+05
aDealio,Coupons|E-Commerce,Benjamin Ling,venture,NA,2011-08-22,1e+06
aDealio,Coupons|E-Commerce,Ed Roman,venture,NA,2011-08-22,1e+06
aDealio,Coupons|E-Commerce,Jim Armstrong,venture,NA,2011-08-22,1e+06
aDealio,Coupons|E-Commerce,Michael Tanne,angel,NA,2011-03-01,5e+05
aDealio,Coupons|E-Commerce,Michael Tanne,venture,NA,2011-08-22,1e+06
aDealio,Coupons|E-Commerce,Neal Rapoport,angel,NA,2011-03-01,5e+05
AdorStyle,E-Commerce,DAG Ventures,venture,D,2013-10-31,9e+06
AdorStyle,E-Commerce,DAG Ventures,debt_financing,NA,2012-10-01,7500000
AdorStyle,E-Commerce,Kleiner Perkins Caufield & Byers,venture,D,2013-10-31,9e+06
AdorStyle,E-Commerce,Kleiner Perkins Caufield & Byers,debt_financing,NA,2012-10-01,7500000
AdorStyle,E-Commerce,Liberty Media,debt_financing,NA,2012-10-01,7500000
AdorStyle,E-Commerce,Live Nation Entertainment,debt_financing,NA,2012-10-01,7500000
Dokkankom,E-Commerce,Silicon Badia,seed,NA,2011-10-10,30000
Adventure Central,E-Commerce|Marketplaces|SaaS|Travel,Advantage Capital Partners,venture,B,2007-01-10,3500000
Adventure Central,E-Commerce|Marketplaces|SaaS|Travel,Allegis Capital,venture,B,2007-01-10,3500000
Affinity China,E-Commerce|Finance|Lifestyle|Tourism|Travel,500 Startups,undisclosed,NA,2013-11-01,2e+05
Affinity China,E-Commerce|Finance|Lifestyle|Tourism|Travel,500 Startups,seed,NA,2011-09-07,6e+05
Affinity China,E-Commerce|Finance|Lifestyle|Tourism|Travel,Loeb Enterprises,seed,NA,2011-09-07,6e+05
Affinity China,E-Commerce|Finance|Lifestyle|Tourism|Travel,RRE Ventures,seed,NA,2011-09-07,6e+05
Affordit.com,E-Commerce,Baroda Ventures,seed,NA,2009-12-16,6e+05
Affordit.com,E-Commerce,Crosscut Ventures,seed,NA,2009-12-16,6e+05
Affordit.com,E-Commerce,FF Angel LLC,seed,NA,2009-12-16,6e+05
Afrimax,E-Commerce,International Finance Corporation,private_equity,NA,2015-09-14,1.2e+08
Afrimax,E-Commerce,THE WORLD BANK GROUP,private_equity,NA,2015-09-14,1.2e+08
Agenda Beleza,E-Commerce|Internet|Online Reservations,Valor Capital Group,seed,NA,2015-02-01,NA
AHAlife.com,E-Commerce,DCM,venture,B,2012-04-26,10100000
AHAlife.com,E-Commerce,DCM,venture,A,2011-07-27,6e+06
AHAlife.com,E-Commerce,FirstMark Capital,venture,B,2012-04-26,10100000
AHAlife.com,E-Commerce,FirstMark Capital,venture,A,2011-07-27,6e+06
AHAlife.com,E-Commerce,Lawrence Lenihan,venture,A,2011-07-27,6e+06
Airseed,Analytics|Big Data|Data Mining|Developer APIs|E-Commerce|Predictive Analytics|Travel,500 Startups,seed,NA,2013-05-01,5e+05
Airseed,Analytics|Big Data|Data Mining|Developer APIs|E-Commerce|Predictive Analytics|Travel,Google Ventures,seed,NA,2013-05-01,5e+05
Airseed,Analytics|Big Data|Data Mining|Developer APIs|E-Commerce|Predictive Analytics|Travel,Great Oaks Venture Capital,seed,NA,2013-05-01,5e+05
