company_name,company_category_list,investor_name,funding_round_type,funding_round_code,funded_at,raised_amount_usd
Acronis,Flash Storage|Homeland Security|Storage|Web Hosting,Insight Venture Partners,venture,NA,2004-01-01,1.1e+07
Acronis,Flash Storage|Homeland Security|Storage|Web Hosting,OpenView Venture Partners,venture,NA,2004-01-01,1.1e+07
ActiveTrak,Mobile Security|Security|Software,ProtectCELL,angel,NA,2010-03-09,5e+05
Adallom,Cloud Computing|Enterprises|Security,BDS Venture Fund,venture,C,2015-04-14,3e+07
Adallom,Cloud Computing|Enterprises|Security,Hewlett Packard Ventures,venture,C,2015-04-14,3e+07
Adallom,Cloud Computing|Enterprises|Security,Rembrandt Venture Partners,venture,C,2015-04-14,3e+07
Adallom,Cloud Computing|Enterprises|Security,Sequoia Capital,venture,B,2014-01-20,1.5e+07
Adallom,Cloud Computing|Enterprises|Security,Sequoia Capital,venture,A,2012-12-01,4500000
Adallom,Cloud Computing|Enterprises|Security,Sequoia Capital,venture,C,2015-04-14,3e+07
AdaptiveMobile,Mobile|Security|Telecommunications,Intel Capital,venture,A,2006-04-20,5670000
AdaptiveMobile,Mobile|Security|Telecommunications,Intel Capital,venture,B,2007-06-09,1.4e+07
Addamark Technologies,SaaS|Security|Technology,Battery Ventures,venture,B,2003-07-28,9e+06
Addamark Technologies,SaaS|Security|Technology,Canaan Partners,venture,B,2003-07-28,9e+06
Addamark Technologies,SaaS|Security|Technology,Sierra Ventures,venture,B,2003-07-28,9e+06
Adility,Advertising|Coupons|Local Advertising|Local Based Services|Network Security,MI Ventures,venture,A,2011-09-06,NA
Adility,Advertising|Coupons|Local Advertising|Local Based Services|Network Security,Benjamin Malka,venture,A,2011-09-06,NA
Adility,Advertising|Coupons|Local Advertising|Local Based Services|Network Security,Joe Lonsdale,venture,A,2011-09-06,NA
Adility,Advertising|Coupons|Local Advertising|Local Based Services|Network Security,Pietro Dova,venture,A,2011-09-06,NA
AdmitOne Security,Security,Citrix Systems,venture,C,2008-01-08,1.1e+07
AdmitOne Security,Security,Ignition Partners,venture,C,2008-01-08,1.1e+07
AdmitOne Security,Security,Ignition Partners,venture,B,2005-11-09,8e+06
AdmitOne Security,Security,OVP Venture Partners,venture,C,2008-01-08,1.1e+07
AdmitOne Security,Security,OVP Venture Partners,venture,B,2005-11-09,8e+06
AdmitOne Security,Security,RRE Ventures,venture,C,2008-01-08,1.1e+07
Adnoviv,Industrial|Medical|Security|Sensors,XLR8UH,seed,NA,2015-02-13,25000
Adrenaline Mobility,Mobile|Security,Illinois Ventures,seed,NA,2012-05-23,1e+05
Adrenaline Mobility,Mobile|Security,Serra Ventures,convertible_note,NA,2013-10-15,135000
Adrenaline Mobility,Mobile|Security,Serra Ventures,seed,NA,2013-10-11,30000
Adrenaline Mobility,Mobile|Security,Serra Ventures,seed,NA,2013-04-22,75000
Agari,SaaS|Security,Alloy Ventures,venture,C,2014-09-23,1.5e+07
Agari,SaaS|Security,Alloy Ventures,venture,A,2011-11-02,2500000
Agari,SaaS|Security,Battery Ventures,venture,C,2014-09-23,1.5e+07
Agari,SaaS|Security,Battery Ventures,venture,A,2011-11-02,2500000
Agari,SaaS|Security,First Round,venture,C,2014-09-23,1.5e+07
Agari,SaaS|Security,First Round,venture,A,2011-11-02,2500000
Agari,SaaS|Security,Greylock Partners,venture,A,2011-11-02,2500000
Agari,SaaS|Security,Scale Venture Partners,venture,C,2014-09-23,1.5e+07
Agari,SaaS|Security,Scott Banister,venture,A,2011-11-02,2500000
Agilence,Enterprise Software|Retail Technology|Security,Granite Ventures,venture,B,2008-11-18,4e+06
Agilence,Enterprise Software|Retail Technology|Security,Granite Ventures,venture,NA,2015-03-11,4300000
Agilence,Enterprise Software|Retail Technology|Security,Granite Ventures,venture,B,2009-12-08,2e+06
Agilence,Enterprise Software|Retail Technology|Security,Nextstage Capital,venture,B,2008-11-18,4e+06
Agilence,Enterprise Software|Retail Technology|Security,Nextstage Capital,venture,NA,2015-03-11,4300000
Agilence,Enterprise Software|Retail Technology|Security,Nextstage Capital,venture,B,2009-12-08,2e+06
Agiliance,Security,Castile Ventures,venture,NA,2012-10-01,5e+05
Agiliance,Security,Castile Ventures,venture,B,2008-07-01,1e+07
