company_name,company_category_list,investor_name,funding_round_type,funding_round_code,funded_at,raised_amount_usd
Openbucks,E-Commerce|Games|Gift Card|Monetization|Payments,AME Cloud Ventures,venture,A,2012-07-16,4800000
Openbucks,E-Commerce|Games|Gift Card|Monetization|Payments,Clearstone Venture Partners,venture,A,2012-07-16,4800000
Openbucks,E-Commerce|Games|Gift Card|Monetization|Payments,CrunchFund,venture,A,2012-07-16,4800000
Openbucks,E-Commerce|Games|Gift Card|Monetization|Payments,e.ventures,venture,A,2012-07-16,4800000
Openbucks,E-Commerce|Games|Gift Card|Monetization|Payments,Inspiration Ventures,venture,A,2012-07-16,4800000
Openbucks,E-Commerce|Games|Gift Card|Monetization|Payments,Morado Venture Partners,venture,A,2012-07-16,4800000
Openbucks,E-Commerce|Games|Gift Card|Monetization|Payments,Mucker Capital,venture,A,2012-07-16,4800000
Openbucks,E-Commerce|Games|Gift Card|Monetization|Payments,Novel TMT Ventures,venture,A,2012-07-16,4800000
Openbucks,E-Commerce|Games|Gift Card|Monetization|Payments,SV Angel,venture,A,2012-07-16,4800000
Openbucks,E-Commerce|Games|Gift Card|Monetization|Payments,SV Angel,seed,NA,2011-04-13,NA
Openbucks,E-Commerce|Games|Gift Card|Monetization|Payments,TiE Angels,venture,A,2012-07-16,4800000
Openbucks,E-Commerce|Games|Gift Card|Monetization|Payments,Farzad (Zod) Nazem,venture,A,2012-07-16,4800000
Openbucks,E-Commerce|Games|Gift Card|Monetization|Payments,Gordon Paddison,venture,A,2012-07-16,4800000
OpenFeint,Games,Intel Capital,venture,NA,2010-10-21,3e+06
Opzi,Games,First Round,angel,NA,2010-09-01,1e+06
Opzi,Games,SoftTech VC,angel,NA,2010-09-01,1e+06
Opzi,Games,SV Angel,angel,NA,2010-09-01,1e+06
Opzi,Games,Y Combinator,seed,NA,2010-01-01,15000
Opzi,Games,Ali Partovi,angel,NA,2010-09-01,1e+06
Opzi,Games,Hadi Partovi,angel,NA,2010-09-01,1e+06
Opzi,Games,Naval Ravikant,angel,NA,2010-09-01,1e+06
Opzi,Games,Paul Buchheit,angel,NA,2010-09-01,1e+06
Opzi,Games,Raymond Tonsing,angel,NA,2010-09-01,1e+06
Sphero,Android|Consumer Electronics|Game|Hardware + Software|Mobile Games|Toys,Disney Accelerator,seed,NA,2014-06-30,120000
Sphero,Android|Consumer Electronics|Game|Hardware + Software|Mobile Games|Toys,Foundry Group,venture,B,2011-04-07,5e+06
Sphero,Android|Consumer Electronics|Game|Hardware + Software|Mobile Games|Toys,Foundry Group,venture,NA,2015-06-01,4.5e+07
Sphero,Android|Consumer Electronics|Game|Hardware + Software|Mobile Games|Toys,Foundry Group,venture,D,2014-05-05,2e+07
Sphero,Android|Consumer Electronics|Game|Hardware + Software|Mobile Games|Toys,Foundry Group,venture,C,2012-05-25,5e+06
Sphero,Android|Consumer Electronics|Game|Hardware + Software|Mobile Games|Toys,Grishin Robotics,venture,D,2014-05-05,2e+07
Sphero,Android|Consumer Electronics|Game|Hardware + Software|Mobile Games|Toys,Highway 12 Ventures,venture,B,2011-04-07,5e+06
Sphero,Android|Consumer Electronics|Game|Hardware + Software|Mobile Games|Toys,Highway 12 Ventures,venture,D,2014-05-05,2e+07
Sphero,Android|Consumer Electronics|Game|Hardware + Software|Mobile Games|Toys,Highway 12 Ventures,venture,C,2012-05-25,5e+06
Sphero,Android|Consumer Electronics|Game|Hardware + Software|Mobile Games|Toys,Mercato Partners,venture,NA,2015-06-01,4.5e+07
Sphero,Android|Consumer Electronics|Game|Hardware + Software|Mobile Games|Toys,Shea Ventures,venture,D,2014-05-05,2e+07
Sphero,Android|Consumer Electronics|Game|Hardware + Software|Mobile Games|Toys,The Walt Disney Company,venture,NA,2015-06-01,4.5e+07
Sphero,Android|Consumer Electronics|Game|Hardware + Software|Mobile Games|Toys,David Cohen,venture,A,2010-10-21,1115543
Origin Digital,Games|Video,Bear Stearns,venture,A,2007-05-21,5500000
Origin Digital,Games|Video,Constellation Ventures,venture,A,2007-05-21,5500000
Osmo,Consumer Electronics|Entertainment|Games|Kids,Accel,venture,A,2014-10-16,1.2e+07
Osmo,Consumer Electronics|Entertainment|Games|Kids,K9 Ventures,seed,NA,2013-10-01,2500000
Osmo,Consumer Electronics|Entertainment|Games|Kids,K9 Ventures,venture,A,2014-10-16,1.2e+07
Osmo,Consumer Electronics|Entertainment|Games|Kids,Upfront Ventures,seed,NA,2013-10-01,2500000
Osmo,Consumer Electronics|Entertainment|Games|Kids,Upfront Ventures,venture,A,2014-10-16,1.2e+07
Ourpalm,Games,Sequoia Capital,venture,A,2010-07-01,2062868
Outspark,Games,Altos Ventures,venture,A,2007-04-11,4e+06
Outspark,Games,Altos Ventures,venture,B,2008-01-01,1.1e+07
Outspark,Games,DCM,venture,A,2007-04-11,4e+06
Outspark,Games,DCM,venture,B,2008-01-01,1.1e+07
Outspark,Games,Syncom Venture Partners,venture,C,2009-07-14,8300000
OUYA,Games,Kleiner Perkins Caufield & Byers,venture,A,2013-05-10,1.5e+07
OUYA,Games,Mayfield Fund,venture,A,2013-05-10,1.5e+07
OUYA,Games,Nvidia,venture,A,2013-05-10,1.5e+07
OUYA,Games,Occam Capital,venture,A,2013-05-10,1.5e+07
OUYA,Games,Science,product_crowdfunding,NA,2012-08-09,8600000
OUYA,Games,Shasta Ventures,venture,A,2013-05-10,1.5e+07
OUYA,Games,Jay Adelson,venture,A,2013-05-10,1.5e+07
Overdog,Console Gaming|Social Games|Video Games,Atlas Venture,venture,NA,2015-07-17,2353000
Overdog,Console Gaming|Social Games|Video Games,Chicago Ventures,venture,NA,2015-07-17,2353000
Overdog,Console Gaming|Social Games|Video Games,Launch Tennessee,private_equity,NA,2013-09-10,450000
Overdog,Console Gaming|Social Games|Video Games,Launch Tennessee,seed,NA,2012-06-01,825145
Overdog,Console Gaming|Social Games|Video Games,Tennessee Community Ventures,seed,NA,2012-06-01,825145
Overdog,Console Gaming|Social Games|Video Games,Tennessee Community Ventures,seed,NA,2013-09-01,1e+05
Overdog,Console Gaming|Social Games|Video Games,Tennessee Community Ventures,seed,NA,2012-09-01,449964
Overdog,Console Gaming|Social Games|Video Games,Third Wave Digital,venture,NA,2015-07-17,2353000
Overdog,Console Gaming|Social Games|Video Games,United Talent Agency,venture,NA,2015-07-17,2353000
Overdog,Console Gaming|Social Games|Video Games,Allen DeBevoise,venture,NA,2015-07-17,2353000
Overdog,Console Gaming|Social Games|Video Games,Mark Pincus,venture,NA,2015-07-17,2353000
Overdog,Console Gaming|Social Games|Video Games,Pen King,venture,NA,2015-07-17,2353000
Overwolf,FreetoPlay Gaming|Games|Social Games|Social Media,Marker,venture,A,2013-09-16,5e+06
P4RC,Games,Wavemaker Partners,venture,A,2013-02-06,NA
P4RC,Games,Tech Coast Angels,venture,A,2013-02-06,NA
P4RC,Games,Terrence Yang,venture,A,2013-02-06,NA
PaeDae,Advertising|Apps|Gamification|Incentives|Mobile|Mobile Games|Social Games|Social Media|User Experience Design,3G Capital Partners,venture,NA,2013-12-10,11600000
PaeDae,Advertising|Apps|Gamification|Incentives|Mobile|Mobile Games|Social Games|Social Media|User Experience Design,Silicon Valley Bank,venture,NA,2013-12-10,11600000
Pando Networks,Content Delivery|Games|Peer-to-Peer|Video|Video Streaming,Intel Capital,venture,B,2006-05-16,7e+06
Pando Networks,Content Delivery|Games|Peer-to-Peer|Video|Video Streaming,Wheatley Partners,venture,B,2006-05-16,7e+06
Pandora.TV,Games,Altos Ventures,venture,A,2006-02-01,6e+06
Pandora.TV,Games,Altos Ventures,venture,B,2007-04-03,1e+07
Pandora.TV,Games,DCM,venture,A,2006-02-01,6e+06
Pandora.TV,Games,DCM,venture,B,2007-04-03,1e+07
Pandora.TV,Games,Saehan,venture,B,2007-04-03,1e+07
Pandora.TV,Games,STIC International,venture,B,2007-04-03,1e+07
Panther Express,Audio|Games|Video,Gold Hill Capital,venture,B,2008-02-27,15750000
Panther Express,Audio|Games|Video,Greylock Partners,venture,B,2008-02-27,15750000
Panther Express,Audio|Games|Video,Greylock Partners,venture,NA,2006-07-25,6e+06
